Noun	Region	Condition	Surprisal	SurprisalReweighted	ThatFraction	ThatFractionReweighted	Script	ID	predictability_weight	deletion_rate	autoencoder	lm
complaint	V1_0	SC_compatible	7.412434094194053	7.332407467607139	0.9988425926885743	0.9987954583720885	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
complaint	V1_0	NoSC_incompatible	7.727673959040987	7.726598297340282	NA	NA	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
complaint	V1_0	SC_incompatible	7.714387442754663	7.631996303364851	0.9988425926885743	0.9988445000372072	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
complaint	V1_0	SCRC_compatible	9.23361775495004	8.657227858253147	0.7685688413558123	0.7785451195562907	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
complaint	V1_0	SCRC_incompatible	9.188068210214809	8.768598134966863	0.7473832528930211	0.7558423893094279	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
assessment	V1_0	SC_compatible	7.06620675066243	6.918560347695282	0.9987922708193461	0.9987915728403174	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
assessment	V1_0	NoSC_incompatible	7.942376330278922	7.937336997709412	NA	NA	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
assessment	V1_0	SC_incompatible	7.3857127842695816	7.268058090970136	1.0	0.9999992890634398	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
assessment	V1_0	SCRC_compatible	8.730425392372021	8.09019176510797	0.7633353462543987	0.7700752472925845	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
assessment	V1_0	SCRC_incompatible	8.615156914876854	8.02346090302951	0.7475342191249618	0.7510939674120313	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
guess	V1_0	SC_compatible	7.293889970019244	7.072740598001342	1.0	0.9999992666037186	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
guess	V1_0	NoSC_incompatible	7.877267042795817	7.869278482768847	NA	NA	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
guess	V1_0	SC_incompatible	7.257340583248415	7.068708468174589	0.9978361509848332	0.9999118075854536	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
guess	V1_0	SCRC_compatible	10.373873634614807	9.341187853744065	0.8071155399623988	0.8498595063237177	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
guess	V1_0	SCRC_incompatible	10.075370964796647	9.032370467116868	0.7980575691098752	0.8235034500991089	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
conclusion	V1_0	SC_compatible	7.033991132957348	6.926199002542358	0.9989935591600944	0.9987981353980907	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
conclusion	V1_0	NoSC_incompatible	7.805617484493532	7.8004161102184355	NA	NA	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
conclusion	V1_0	SC_incompatible	7.262492471846981	7.171033909355384	1.0	0.999999255373858	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
conclusion	V1_0	SCRC_compatible	8.498885007872097	7.755488205647123	0.7744565217458792	0.8099963047096262	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
conclusion	V1_0	SCRC_incompatible	8.521742933038352	7.792882285256317	0.7536735103830047	0.8259060674387476	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
certainty	V1_0	SC_compatible	6.999294474504996	6.60169511947079	0.9984903387401415	0.9977804957956508	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
certainty	V1_0	NoSC_incompatible	8.348545565121416	8.346441835596941	NA	NA	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
certainty	V1_0	SC_incompatible	7.076317880464637	6.873977325964665	0.998087762058645	0.9979808062746904	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
certainty	V1_0	SCRC_compatible	9.508520938348079	7.8173765185950455	0.7794384062998807	0.818434839476753	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
certainty	V1_0	SCRC_incompatible	9.205713348112244	7.593917618627134	0.7600644128127159	0.8403603030719619	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
realization	V1_0	SC_compatible	6.446081693621649	6.339532660401386	1.0	0.9999992475993391	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
realization	V1_0	NoSC_incompatible	7.90903607658718	7.908658089845077	NA	NA	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
realization	V1_0	SC_incompatible	6.893311759699946	6.795230896576591	1.0	0.9999992830165918	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
realization	V1_0	SCRC_compatible	7.943063012067823	7.096829504206561	0.7821054760420668	0.8482114614351935	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
realization	V1_0	SCRC_incompatible	7.858172717301742	7.2553742761197295	0.7635366354893515	0.8800915617873704	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
disclosure	V1_0	SC_compatible	7.726065055183742	7.515865384668544	1.0	0.9999992769697438	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
disclosure	V1_0	NoSC_incompatible	7.424324723257535	7.421624798705612	NA	NA	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
disclosure	V1_0	SC_incompatible	7.968112016069716	7.7824108427849366	0.9987922708193461	0.9987915607466213	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
disclosure	V1_0	SCRC_compatible	9.454499894294186	8.587609937225563	0.7658011281214978	0.770748503018505	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
disclosure	V1_0	SCRC_incompatible	9.045531293620234	8.361646462177884	0.7378723841477726	0.7486226804639016	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
statement	V1_0	SC_compatible	6.801375589508941	6.7061882779218145	1.0	0.999999325344528	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
statement	V1_0	NoSC_incompatible	6.745076082754826	6.743208280508069	NA	NA	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
statement	V1_0	SC_incompatible	7.032017695731011	6.946834282598633	0.9990942028985508	0.9991024430247321	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
statement	V1_0	SCRC_compatible	9.34105141957601	8.069439124369968	0.7752113534994693	0.7875659945150972	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
statement	V1_0	SCRC_incompatible	9.060985703399217	8.048062058462612	0.7501509659754895	0.7775860101922434	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
understanding	V1_0	SC_compatible	7.226440889247949	7.052134043928506	0.9990438810293225	0.9988906962284143	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
understanding	V1_0	NoSC_incompatible	9.598292813784834	9.594588853310848	NA	NA	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
understanding	V1_0	SC_incompatible	7.360480028650035	7.257324223933012	0.9988425926885743	0.9990716576576233	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
understanding	V1_0	SCRC_compatible	8.93408195177714	8.372419073961783	0.7632850252017649	0.7808052795624699	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
understanding	V1_0	SCRC_incompatible	8.620947633964429	8.097059640331544	0.7481884056621272	0.7903884666247641	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
message	V1_0	SC_compatible	6.73483569552933	6.67188452810481	0.9989935591600944	0.9987915892531907	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
message	V1_0	NoSC_incompatible	6.706139080766318	6.70475289096003	NA	NA	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
message	V1_0	SC_incompatible	7.217738108358521	7.162463690923608	0.9989935591600944	0.9988210529520891	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
message	V1_0	SCRC_compatible	9.348282433938289	8.107693724010302	0.7647946865763515	0.7682339622836519	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
message	V1_0	SCRC_incompatible	9.001471011534981	8.108779506406922	0.7530193243047519	0.7654107519310723	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
insinuation	V1_0	SC_compatible	7.64563889088838	7.46144715944926	0.9976348635079204	0.9975842747135438	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
insinuation	V1_0	NoSC_incompatible	9.222877806511478	9.221973336261252	NA	NA	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
insinuation	V1_0	SC_incompatible	8.054106166397316	7.901097760684248	1.0	0.9999992519185164	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
insinuation	V1_0	SCRC_compatible	10.100159430849379	9.428691397542538	0.7644424322702369	0.7662146856605367	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
insinuation	V1_0	SCRC_incompatible	9.999177984569384	9.424330424571384	0.7403381636157038	0.7389656131552879	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
suggestion	V1_0	SC_compatible	7.31537005348482	7.233830571174622	1.0	0.999999357306439	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
suggestion	V1_0	NoSC_incompatible	7.417380906533504	7.41760490251624	NA	NA	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
suggestion	V1_0	SC_incompatible	7.5368533894635625	7.46372922261556	1.0	0.9999992277311243	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
suggestion	V1_0	SCRC_compatible	8.432473709617836	7.752599213434302	0.7736513696583933	0.8042850234964187	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
suggestion	V1_0	SCRC_incompatible	8.238793545874996	7.657300957735034	0.7581521751818018	0.8635873948966247	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
idea	V1_0	SC_compatible	7.173787478087605	7.088554112807564	0.9989935591600944	0.9987942101298899	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
idea	V1_0	NoSC_incompatible	8.026495259741079	8.026633552882982	NA	NA	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
idea	V1_0	SC_incompatible	7.463892674100572	7.359835607418115	0.9988425926885743	0.9988233732140582	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
idea	V1_0	SCRC_compatible	8.564196545144785	7.865202905475229	0.7707326900099228	0.8144940614592338	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
idea	V1_0	SCRC_incompatible	8.347743398901345	7.786585937375608	0.7554851050583132	0.8435022287826607	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
revelation	V1_0	SC_compatible	7.690827805062999	7.588672593020011	0.9989432364270308	0.998818620391514	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
revelation	V1_0	NoSC_incompatible	7.863617496214051	7.86334656977999	NA	NA	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
revelation	V1_0	SC_incompatible	7.99192588225655	7.898091609927191	1.0	0.999999255373858	script__QC_3_W_GPT2M	900360318	1.0	0.45	647336050	935649231
