ID	PredictabilityWeight	DeletionRate	Noun	Complete	Incomplete	Unknown
283344723	0.5	0.4	report	31	34	19
283344723	0.5	0.4	story	59	27	12
283344723	0.5	0.4	admission	37	51	3
283344723	0.5	0.4	complaint	65	33	4
283344723	0.5	0.4	truth	52	45	6
283344723	0.5	0.4	assessment	64	33	5
283344723	0.5	0.4	declaration	57	36	10
283344723	0.5	0.4	guess	22	35	31
283344723	0.5	0.4	disclosure	55	32	6
283344723	0.5	0.4	remark	46	34	14
283344723	0.5	0.4	confirmation	56	33	9
283344723	0.5	0.4	myth	63	28	11
283344723	0.5	0.4	news	73	27	1
283344723	0.5	0.4	allegation	69	22	6
283344723	0.5	0.4	information	59	36	10
283344723	0.5	0.4	evidence	51	43	3
283344723	0.5	0.4	prediction	66	31	6
283344723	0.5	0.4	finding	55	33	12
283344723	0.5	0.4	proof	52	45	2
283344723	0.5	0.4	accusation	55	35	8
283344723	0.5	0.4	message	50	31	15
283344723	0.5	0.4	recognition	52	38	4
283344723	0.5	0.4	indication	64	35	3
283344723	0.5	0.4	concern	52	30	9
283344723	0.5	0.4	reminder	55	46	2
283344723	0.5	0.4	announcement	73	25	5
283344723	0.5	0.4	rumor	65	28	6
283344723	0.5	0.4	statement	60	37	6
283344723	0.5	0.4	thought	32	41	13
283344723	0.5	0.4	conviction	57	35	5
283344723	0.5	0.4	conjecture	61	34	5
283344723	0.5	0.4	feeling	47	38	8
283344723	0.5	0.4	idea	59	32	8
283344723	0.5	0.4	claim	53	28	17
283344723	0.5	0.4	conclusion	53	46	4
283344723	0.5	0.4	view	60	39	1
283344723	0.5	0.4	speculation	59	34	10
283344723	0.5	0.4	certainty	51	44	5
283344723	0.5	0.4	suggestion	67	28	4
283344723	0.5	0.4	perception	64	29	4
283344723	0.5	0.4	intuition	63	34	3
283344723	0.5	0.4	observation	68	27	6
283344723	0.5	0.4	suspicion	42	49	11
283344723	0.5	0.4	revelation	68	32	1
283344723	0.5	0.4	understanding	57	30	9
283344723	0.5	0.4	insinuation	10	22	5
283344723	0.5	0.4	notion	65	34	4
283344723	0.5	0.4	opinion	58	35	6
283344723	0.5	0.4	sense	65	28	8
283344723	0.5	0.4	presumption	64	32	9
283344723	0.5	0.4	assurance	59	32	6
283344723	0.5	0.4	realization	65	26	8
283344723	0.5	0.4	impression	54	37	10
283344723	0.5	0.4	assertion	73	28	2
283344723	0.5	0.4	contention	65	28	9
283344723	0.5	0.4	assumption	59	31	9
283344723	0.5	0.4	belief	62	32	6
283344723	0.5	0.4	fact	78	19	4
27112162	1.0	0.4	report	74	12	7
27112162	1.0	0.4	story	95	8	2
27112162	1.0	0.4	admission	95	10	0
27112162	1.0	0.4	complaint	102	5	0
27112162	1.0	0.4	truth	94	11	1
27112162	1.0	0.4	assessment	91	14	1
27112162	1.0	0.4	declaration	97	9	0
27112162	1.0	0.4	guess	69	15	18
27112162	1.0	0.4	disclosure	86	12	3
27112162	1.0	0.4	remark	84	11	4
27112162	1.0	0.4	confirmation	86	16	4
27112162	1.0	0.4	myth	93	10	0
27112162	1.0	0.4	news	91	12	2
27112162	1.0	0.4	allegation	88	11	4
27112162	1.0	0.4	information	90	14	2
27112162	1.0	0.4	evidence	87	12	7
27112162	1.0	0.4	prediction	88	16	4
27112162	1.0	0.4	finding	74	26	5
27112162	1.0	0.4	proof	85	21	1
27112162	1.0	0.4	accusation	97	9	0
27112162	1.0	0.4	message	94	11	1
27112162	1.0	0.4	recognition	83	20	3
27112162	1.0	0.4	indication	99	7	0
27112162	1.0	0.4	concern	88	10	4
27112162	1.0	0.4	reminder	96	11	0
27112162	1.0	0.4	announcement	94	9	0
27112162	1.0	0.4	rumor	97	7	0
27112162	1.0	0.4	statement	89	15	1
27112162	1.0	0.4	thought	62	9	11
27112162	1.0	0.4	conviction	91	13	2
27112162	1.0	0.4	conjecture	90	16	2
27112162	1.0	0.4	feeling	77	21	4
27112162	1.0	0.4	idea	95	10	2
27112162	1.0	0.4	claim	79	9	8
27112162	1.0	0.4	conclusion	89	14	1
27112162	1.0	0.4	view	93	11	1
27112162	1.0	0.4	speculation	72	27	7
27112162	1.0	0.4	certainty	72	28	6
27112162	1.0	0.4	suggestion	93	10	0
27112162	1.0	0.4	perception	98	10	0
27112162	1.0	0.4	intuition	90	11	2
27112162	1.0	0.4	observation	98	8	1
27112162	1.0	0.4	suspicion	86	14	2
27112162	1.0	0.4	revelation	93	7	4
27112162	1.0	0.4	understanding	79	23	5
27112162	1.0	0.4	insinuation	6	4	4
27112162	1.0	0.4	notion	91	11	2
27112162	1.0	0.4	opinion	84	11	7
27112162	1.0	0.4	sense	87	16	1
